title,link,location,date,company,description
Data Scientist - Entry Level,https://www.indeed.com/viewjob?jk=3dde0133818987f0,"Sacramento, CA",30+ days ago,Numerdox,"As a Data Scientist you will be working on consulting side of our business. You will be responsible for analyzing large, complex datasets and identify meaningful patterns that lead to actionable recommendations. You will be performing thorough testing and validation of models, and support various aspects of the business with data analytics.
Ability to do statistical modeling, build predictive models and leverage machine learning algorithms.
This position will combine the typical Data Scientist math and analytical skills, with research, advanced business, communication, and presentation skills.
Primary job location is in Sacramento, but work-from-home option is available.
Qualifications
Bachelors, MS or PhD in a relevant field (Computer Science, Engineering, Statistics, Physics, Applied Math)
Experience in R and/or Python is preferred"
"Associate Data Scientist
new",https://www.indeed.com/viewjob?jk=9ca3de0881047012,"Deerfield, IL",6 days ago,WALGREENS,"Job Summary:

Applies data analysis tools and techniques to provide insights and actionable recommendations for the business. Uses statistical modeling to make predictions about future outcomes in multiple scenarios to improve products & processes. May explain findings to business audience.

Job Responsibilities:
Responsible for applying data analysis tools and techniques to provide insights and actionable recommendations for the business. Uses statistical modeling to make predictions about future outcomes in multiple scenarios to improve products & processes. May explain findings to business audience.
Assists in executing statistical and mathematical analyses to support business decision making for multiple business functions.
Uses algorithms and statistical predictive models and participates in determining analytical approaches and modeling techniques to evaluate scenarios and potential future outcomes.
Applies analytical rigor and statistical methods to analyze large amounts of data, using advanced statistical techniques such as predictive statistical models, customer profiling, segmentation analysis, survey design and analysis and data mining.
Develops basic tests and validates hypotheses through the application of a range of advanced mathematical, statistical, scientific and/or computational techniques, such as probability models, machine learning, data mining, pattern recognition, data visualization, predictive analytics, data warehousing, artificial intelligence and/or other similarly complex methods. .
Documents assigned aspects of projects including business objectives, data gathering and processing, leading approaches, final algorithm, detailed set of results and analytical metrics.
Assists with developing materials to explain project findings.
Escalates problems and roadblocks as they occur.
Interacts with team members and peers and may interact with external peers to provide semi-routine information related to assigned tasks.
May prepare and present interpretation of findings to internal clients.
Walgreens (walgreens.com), one of the nation's largest drugstore chains, is included in the Retail Pharmacy USA Division of Walgreens Boots Alliance, Inc. (Nasdaq: WBA), a global leader in retail and wholesale pharmacy. Walgreens is proud to be a neighborhood health, beauty and retail destination supporting communities across the country, and was named to FORTUNE* magazine’s 2019 Companies that Change the World list. Approximately 8 million customers interact with Walgreens in stores and online each day. As of August 31, 2019, Walgreens operates 9,277 drugstores with a presence in all 50 states, the District of Columbia, Puerto Rico and the U.S. Virgin Islands, along with its omnichannel business, Walgreens.com. Walgreens also provides specialty pharmacy and mail services and offers in-store clinics and other health care services throughout the United States, most of which are operated by our health care strategic partners.

Basic Qualifications

Bachelor's degree.
Knowledge of analytics, statistical or mathematical concepts and techniques.
Knowledge of analysis and data interpretation.
Willing to travel up to 10% of the time for business purposes (within state and out of state).

Preferred Qualifications
N/A"
"Data Scientist
new",https://www.indeed.com/viewjob?jk=8529b499e47e83a8,"Columbus, OH",Today,auticon,"If you have an autism diagnosis and are looking for a career in tech in a great work environment, we want to hear from you.

auticon currently has an immediate hiring need for Data Scientists- from junior (minimum 1 year professional experience, see skills and qualifications for specifics) to senior level professionals.

For these roles, we are looking for individuals with quantitative degrees comfortable enough with research methodologies that they can tackle abstract business and engineering problems with extreme precision, and who have the enthusiasm and initiative necessary to deliver those answers at a fast pace.

You should have demonstrable programming skills (Python preferred) and be comfortable with the engineering development process.

As a Data Scientist at auticon you will help our clients solve fascinating and challenging problems.

We realize that getting and keeping a job can be challenging, so we’re on your side.

We provide a professional auticon Job Coach and Technical Leader in an accommodating work environment to help you succeed.

The skills and main responsibilities for this role are below, but you do not have to meet all of them to apply!

The Role:
As a Data Scientist at auticon you will need strong creative problem-solving skills to translate a wide variety of business processes or problems into AI, machine learning, deep learning, or neural network solutions and the technical background to implement those solutions.

The ideal candidate will be involved in methodically running experiments to evaluate alternate models via theoretical approaches.

Responsibilities:
Analyze large, noisy data sets from many different sources to discover trends and patterns
Undertake preprocessing of structured and unstructured data
Build predictive models and learning algorithms
Write SQL, NoSQL, or similar data queries
Perform statistical tests and evaluations to make good decisions and determine the right action
Build and manage data pipelines and processes
Communicate results with stakeholders, executives, and other non-data scientists in a way that they can understand and makes them feel empowered
Collaborate with engineering and product development teams
Deliver on timeline commitments where necessary
Help interface and facilitate collaboration with the client’s team, in collaboration with and alignment with Job Coach and their responsibilities
Work alongside your dedicated Job Coach for support
Help outline and scope engagements (senior level only)
Coach less experienced Data Scientists on your auticon team (senior level only)

Skills and Qualifications:

1+ year professional relevant work experience
This includes: Paid and unpaid work, full-time/part-time work, freelance professional work (paid or unpaid, Client or family/friend), internships
Does not include: College courses, personal projects
Work experience does not have to be consecutive
Ability to keep track of many complicated interactions between different data sources
Solid mathematical skills
Bachelor’s, Masters or PhD in Applied Mathematics, Statistics, Data Science, or similar scientific/technical field (or equivalent experience)
Preferred but not all skills mandatory to apply: Experience with Python (including NumPy, Pandas, Scikit Learn, TensorFlow), SQL, and familiarity with software development tools and workflow (automated testing, git, clean code)


Applicants must now and in the future be legally eligible to work in the US for any employer.

auticon does not provide visa sponsorship or transfer for this opening.
Apply now

Please send an email to with your resume attached, briefly stating whether or not you have an autism spectrum diagnosis and what your expertise is.

auticon provides equal employment opportunities to all employees and applicants for employment and prohibits discrimination and harassment of any type without regard to race, color, religion, age, sex, national origin, disability status, genetics, protected veteran status, sexual orientation, gender identity or expression, or any other characteristic protected by federal, state or local laws. This policy applies to all terms and conditions of employment, including recruiting, hiring, placement, promotion, termination, layoff, recall, transfer, leaves of absence, compensation and training."
"Data Scientist
new",https://www.indeed.com/viewjob?jk=2ca734600511eb67,Remote,1 day ago,Alex’s Lemonade Stand Foundation,"Childhood Cancer Data Lab Overview

Alex’s Lemonade Stand Foundation is one of the leading funders of pediatric cancer research in the US and Canada. Since its inception in 2005, ALSF has funded more than 1,000 projects at nearly 150 institutions across the United States and Canada.

The Childhood Cancer Data Lab, an initiative of Alex’s Lemonade Stand Foundation, was founded in August 2017 with the mission of empowering pediatric cancer experts poised for the next big discovery with the knowledge, data, and tools to reach it. The Data Lab is comprised of a team of software developers, data scientists and designers who are driven to build software systems, analytical workflows, and training programs in service of this mission. Members of the Data Lab simultaneously contribute childhood cancer research and to the open science and open source software communities.

The Data Lab is headquartered in Philadelphia. The team has switched to fully remote work during the pandemic. When it is safe to return to in-person work, this position can remain remote with quarterly trips to the Philadelphia area or return to the office as desired.

Position Overview, Duties and Responsibilities

The Data Lab data scientist is a point person on data-intensive cancer biology within the lab and a senior member of the data science team. The Data Lab data science team activities include a mix of research, short training workshops, and conceptualization of data-processing systems.

The data scientist is expected to identify opportunities to enhance Data Lab offerings and take a leadership role in execution. This team member will envision solutions that serve a community of dedicated scientists and clinicians, including those who receive grants from ALSF.

The Data Lab position will provide the data scientist with the opportunity to envision and enhance data-processing systems as well as systems that enable the user-guided analysis and interpretation of large-scale datasets. This member of the team will need an understanding of how to perform robust analyses of biological data. Working in the Data Lab also provides a unique opportunity to interact with the childhood cancer research community and its supporters at ALSF.

Work with the Data Lab Director to guide the biological challenges addressed by the lab and/or to enhance Data Lab-led training efforts.
Perform and summarize analyses that seek to reveal new paths to treatment of childhood cancers or enhance Data Lab offerings.
Work with developers to design systems that address a pressing need in cancer biology.
Write and review clean, maintainable source code, documentation, and instructional material for public consumption.
Represent ALSF and the Data Lab at national conferences.

All employees of the Foundation undertake other duties as needed and special projects as assigned. All positions at ALSF require occasional non-traditional work hours including evenings and weekends.

Qualifications:

PhD in Genetics, Genomics, Computer Science, Bioinformatics, or related field.
Expertise in the collection of activities now coming to be known as “biological data science.”
Expertise in or the ability to transition to R or Python.
Excellent written communication skills.
Candidates with a proven record of collaborative scientific research preferred.
Experience developing or adapting instruction material a plus.
Experience writing and reviewing analytical code in a collaborative environment a plus.

If interested, please submit your resume and cover letter describing your interest and why you are the right fit for the position to humanresources@alexslemonade.org. In the interest of expediting our process, only candidates who submit cover letters with resumes will be considered. Applications that include either a portfolio with work samples or demonstrable contributions to open source projects are preferred."
"Data Scientist
new",https://www.indeed.com/viewjob?jk=69b9c1d5ef24e8f4,"Memphis, TN",Today,ECS Federal LLC,"ECS is seeking a Data Scientist to work in our Memphis, TN office.
Job Description:
Data Scientist who will support engineering and management teams with insights gained from analyzing company data. The ideal candidate is adept at using large data sets to find opportunities for product and process optimization and using models to test the effectiveness of different courses of action. They must have strong experience using a variety of data mining/data analysis methods, using a variety of data tools, building and implementing models, using/creating algorithms and creating/running simulations. They must have a proven ability to drive business results with their data-based insights. They must be comfortable working with a wide range of stakeholders and functional teams. The right candidate will have a passion for discovering solutions hidden in large data sets and working with stakeholders to improve business outcomes.
Work with stakeholders throughout the organization to identify opportunities for leveraging company data to drive business solutions.
Mine and analyze data from company databases to drive optimization and improvement of product development, marketing techniques and business strategies.
Assess the effectiveness and accuracy of new data sources and data gathering techniques.
Develop custom data models and algorithms to apply to data sets.
Use predictive modeling to increase and optimize customer experiences, revenue generation, ad targeting and other business outcomes.
Develop company testing framework and test model quality.
Coordinate with different functional teams to implement models and monitor outcomes.
Develop processes and tools to monitor and analyze model performance and data accuracy

Required Skills:
Degree in Engineering, Statistic, or Mathematics
Strong problem-solving skills with an emphasis on product development.
Experience using statistical computer languages (R, Python, SLQ, etc.) to manipulate data and draw insights from large data sets.
Experience working with and creating data architectures.
Knowledge of a variety of machine learning techniques (clustering, decision tree learning, artificial neural networks, etc.) and their real-world advantages/drawbacks.
Knowledge of advanced statistical techniques and concepts (regression, properties of distributions, statistical tests and proper usage, etc.) and experience with applications.
Excellent written and verbal communication skills for coordinating across teams.
A drive to learn and master new technologies and techniques.

Desired Skills:
Coding knowledge and experience with several programming languages
Knowledge and experience in statistical and data mining techniques
Experience querying databases and using statistical computer languages: R, Python, SLQ, etc.
Experience creating and using advanced machine learning algorithms and statistics: regression, simulation, scenario analysis, modeling, clustering, decision trees, neural networks, etc.
Experience analyzing data from 3rd party providers
Experience with distributed data/computing tools
Experience visualizing/presenting data for stakeholders
Amazon and / or Google cloud services supporting Data analytics, machine learning, and AI

ECS is an equal opportunity employer and does not discriminate or allow discrimination on the basis of race, color, religion, gender, age, national origin, citizenship, disability, veteran status or any other classification protected by federal, state, or local law. ECS promotes affirmative action for minorities, women, disabled persons, and veterans.
ECS is a leading mid-sized provider of technology services to the United States Federal Government. We are focused on people, values and purpose. Every day, our 3000+ employees focus on providing their technical talent to support the Federal Agencies and Departments of the US Government to serve, protect and defend the American People."
"Data Scientist
new",https://www.indeed.com/viewjob?jk=8098ca27c3755c84,"New York, NY",Today,Affinity Solutions,"Affinity Solutions is the first data-led intelligence platform that uses purchase signals as the authoritative source of truth in helping marketers, agencies and media organizations deliver emotionally resonant experiences that enrich people’s lives.
Building on our foundation of innovative solutions for Financial Institutions and Retailers that drive acquisition, share of wallet and loyalty, we’re redefining data driven marketing to make it highly personalized. Our unique approach turns consumer data intelligence into actions, and encourages consumers to opt-in. Our solutions are proven to drive shopping behavior and engagement that unlock brand and market share growth for our clients.
Affinity Solutions seeks a smart, curious, and technical savvy candidate to join our cutting-edge Data Science team. We hire the best and brightest and give them the opportunity to work on industry-leading technologies.
The Data Science team at AFS build models, machine learning algorithms that power all our ad-tech/mar-tech products at scale, develop methodology and tools to precisely and effectively measure market campaign effects, and research in-house and public data sources for consumer spend behavior insights.
In this role, you'll be focusing on the area of consumer/retailer market insights. However, you'll also have the opportunity to come up with new ideas and solutions that will lead to the improvement of our ability to target the right audience, derive insights, and provide better measurement methodology for marketing campaigns.
Duties and Responsibilities
Support all clients modeling needs, including model development, maintenance and improvement of the company’s current modeling/scoring methodology and processes, and to ensure on time and quality delivery,
Provide innovative and automated solutions to customized modeling/scoring/targeting with appropriate ML/statistical tools,
Work with the data engineering team on the data platform initiative to enable client building modeling through API.
Engage in R&D to explore, test and implement new modeling methods and technology.
Mine large consumer datasets in the cloud environment to support ad hoc business and statistical analysis,
Provide analytical/statistical support such as marketing test design, projection, campaign measurement, market insights to clients and stakeholders.
Communicate the methodologies and the results to the management, clients, and other non-technical stakeholders.

Basic Qualifications
Advanced degree in Statistics/Mathematics/Computer Science/Economics or other fields that requires advanced training in data modeling and analytics.
Deep understanding and solid knowledge of the fundamentals of statistic reasoning and data modeling. Excellent in conceptualization of business problem and be able to craft sound and practical modeling and analytical solutions to solve the problems.
Experience in classification, time series and survival modeling/algorithm, and in statistical tests to solve business problems such as targeting, test design, KPI projection and performance measurement.
Excellent command of one or more programming languages, preferably Python or R for business data modeling and analytics.
Experience and comfortable working in the Cloud environment and familiar with one of the database technologies such as PostgreSQL, MySQL and at ease with SQL queries.
Entrepreneurial, highly self-motivated, collaborative, keen attention to detail, willingness and capable learn quickly, and ability to effectively prioritize and execute tasks in a demanding environment.
Be flexible and able to be productive in a wide range of data science areas.
Great communication skills (verbal, written and presentation)

Preferred Qualifications
Experience or exposure to large consumer and/or demographic data sets.
Familiarity with data manipulation and cleaning routines and techniques."
"Data Scientist
new",https://www.indeed.com/viewjob?jk=fd1913b34178ef0f,"Denver, CO",5 days ago,Wunderman Thompson,"Who we are:

At Wunderman Thompson we exist to inspire growth for ambitious brands. Part creative agency, part consultancy and part technology company, our experts provide end-to-end capabilities at a global scale to deliver inspiration across the entire brand and customer experience.

We are 20,000 strong in 90 markets around the world; our people bring together creative storytelling, diverse perspectives, inclusive thinking, and highly specialized vertical capabilities to drive growth for our clients. We offer deep expertise across the entire customer journey, including communications, commerce, consultancy, CRM, CX, data, production, and technology.
Who we are looking for:

Wunderman Thompson is seeking a smart, inquisitive, self-driven Data Scientist to join our growing data science capability within Wunderman Thompson Data Products. You'll be part of the Data Science Innovation & Engineering group responsible for building scalable data science solutions that can be used across all of our data business.

As a Data Scientist you will be responsible for contributing to the development of machine learning solutions across all our data assets within Wunderman Thompson Data Products. The approach we take within this department is learn fast, innovate well, requiring you to write efficient code, explore approaches and evaluate techniques against performance. You will have the freedom to contribute to methodology decisions and the responsibility of turning your code into production level solutions that can be rolled out across the business.

We're looking for someone who is genuinely excited about the field of data science right now, driven by continuous learning, development and contributions to the wider community.

What you'll do:
Create | Understanding the business problem at hand and where value can come from in terms of Machine Learning and data science. Data wrangling, feature engineering, proper treatment of variable types etc. Methodology selection and testing. Coding solutions to a production level
Collaborate | Contribute to the wider DSML (Data Science and Machine Learning) community across Wunderman Thompson
Who you are:
Curious | With an inquisitive mindset you embrace the unknown and see as an opportunity to explore and innovate.
Ambitious | Willing to take calculated risks, stretch yourself and your team to do new things vs. plugging into existing solutions.
Passionate | You take great pride in your work. You approach our own and our clients' business challenges with enthusiasm and a commitment to getting it right. You love working in health. You see data science as a way of expressing creativity.
Humble | Wear any hat that needs to be worn, and you know you do not know everything. You want to learn from others.
What you'll need:
3-6 years' experience.
Strong Applied Machine Learning Experience Including but not limited to:
Regression (Logistic/Linear/GLMs/Ridge/Lasso).
Tree Based (XGBoost, LightGBM, RF).
Clustering (Kmeans/RFM/Hierarchical/HDBSCAN).
Some Deep learning experience
Neural networks (MLPs, AEs, CNNs, RNNs LSTMs, GANs).
Experience in at least one Deep learning framework: Tensorflow, Pytorch, Keras, MXNet, Gluon.
Strong Python, SQL.
Version Control – Git.
Strong examples of independently developed machine learning pipelines end-to-end, from problem formulation, data pre-processing, feature engineering, model optimization, and deploying models into production.
Strong NLP Experience:
Word2Vec, GloVe, LTSMs, LDA, NER, Probabilistic Language Models.
Apache Spark.
IBM Watson Cloud Pack or other cloud machine learning platform.
Using GPUs/TPUs for accelerating algorithms.
Apache Spark (Pyspark, Sparklyr or Scala) for scaling algorithms.
Cloud services experience to implement and scale algorithms.
Ability to explain model output and ML approaches to non-technical audiences.
Ability to interpret and communicate insights, build story & visualization from ML model outputs.
An eagerness to develop exciting data science solutions that will have a tangible impact on the business.
Hard working and focused.
Strong collaboration and communication skills.
Self-sufficient.

Our Compensation and Benefits (for Colorado residents only)

Base Compensation Range: $130,000 - $150,000
At Wunderman Thompson, we are committed to actively building a diverse, equitable and inclusive workplace where everyone feels welcomed, valued and heard, and is treated with dignity and respect. As leaders and creative partners across industries, it is our responsibility to cultivate an environment reflective of our greatest asset; our people. We believe that this commitment inspires growth and delivers equitable outcomes for everyone as well as the clients and communities we serve.

Wunderman Thompson is a WPP agency. For more information, please visit our website and follow Wunderman Thompson on our social channels via Twitter, Facebook, LinkedIn, and Instagram.

We rely on legitimate interest as a legal basis for processing personal information under the GDPR for purposes of recruitment and applications for employment."
"Data Scientist
new",https://www.indeed.com/viewjob?jk=97889f1367e0bb2e,"Coraopolis, PA",3 days ago,DICK'S Sporting Goods,"The Data Scientist in the eCommerce department performs detailed analyses on our online customer in order to make recommendations on how to increase business growth. The data scientist will focus on blending various data sources and applying machine learning models and data mining techniques to create these insights and new processes.
Machine Learning Applications & Analyses
Apply machine learning and data mining techniques to extract actionable insights from large-scale, high-dimensional data.
Build and put into deployment algorithmic solutions that focus on improving the customer’s experience both in-store and on our web properties.
Compile data from desperate data sources leveraging both qualitative and quantitative data to build holistic views of customer’s experience.
Distill these complex analyses into presentations and recommendations for non-technical business units.

Data and Reporting
Support eCommerce leadership and business units with critical data for ad-hoc requests to inform business decisions.
Develop and support reporting needs through construction of automated dashboards in conjunction with the data and reporting team

Client Liaison
Work with a variety of business units within the eCommerce department to help translate their requirements into specific analytical deliverables.
Continue to improve and advance communications and collaborations amongst the various analytics teams and eCommerce business units.

Training
Lead or support formal and/or informal training for team members on the various tools used for team members within the analytics team or client teams.
Qualifications
Bachelor's Degree in Statistics, Computer Science, Engineering, Mathematics, Economics, or other quantitative field -Additional experience will be considered in lieu of an advanced degree.
1-3 years of experience in Statistics/Machine Learning with applications in R or Python and have experience creating visualizations and presentations for non-technical users.
Python or R experience
Applications of machine learning in retail is a plus
Experience with Hadoop is a plus
Experience with messy and large data is a plus
SQL is a plus"
"Data Scientist, Growth",https://www.indeed.com/viewjob?jk=27f8a68d97f970cd,"San Francisco, CA",30+ days ago,Pinterest,"About Pinterest:

Millions of people across the world come to Pinterest to find new ideas every day. It’s where they get inspiration, dream about new possibilities and plan for what matters most. Our mission is to help those people find their inspiration and create a life they love. In your role, you’ll be challenged to take on work that upholds this mission and pushes Pinterest forward. You’ll grow as a person and leader in your field, all the while helping Pinners make their lives better in the positive corner of the internet.

As a Data Scientist within the Growth Product Analytics and Data Science team, you will leverage data and automation to help Pinterest solve impactful business, marketing, and growth problems such as SEO, email & push notifications targeting, and lifetime value forecasting, churn prediction, causal inference, and more. We’re looking for a data scientist to help us connect Pinners to actionable content that improves the Pinner experience.
What you’ll do:

Perform deep dive analyses to understand and optimize the key levers of our growth ecosystems
Design core metrics that serve as the North Stars for team efforts and model tradeoffs across product areas
Apply statistics, modeling and ML to improve the efficiency of systems and relevance algorithms across Growth Initiatives
Work with product managers and engineers to design data products and debug A/B experiments

What we’re looking for:

4+ years of industry experience with proven ability to apply scientific methods to solve real-world problems on web scale data
Expert in at least one scripting language(Python/R)
Proficient in SQL/Hive
Proven ability to apply scientific methods to solve real-world problems
Knowledgeable about the machine learning trade-offs and model evaluation
Ability to lead initiatives across multiple product areas and communicate findings with leadership and product teams

#LI-KP1"
Full Time Opportunities for Students & Recent Graduates - MA...,https://www.indeed.com/viewjob?jk=bd2d32a1e6455d95,"Cambridge, MA",30+ days ago,Microsoft,"A new technology paradigm is emerging, one with an intelligent cloud and an intelligent edge. To foster Microsoft’s leadership in this field, Microsoft has launched a ground-breaking program to develop the next generation of leaders in AI. Located at the Microsoft New England Research and Development Center (NERD), the Microsoft AI Development Acceleration Program (MAIDAP) is hiring soon-to-be and recent graduates from BS, MS, and PhD programs in Machine Learning or Data Science related fields. Over the course of two years, participants will work in interdisciplinary project teams to provide AI as a service to engineering teams across Microsoft and solve some of our most exciting and challenging AI problems. In addition, you will have mentors, exposure to leaders, and access to numerous AI data scientists, researchers and engineers across the company. After the program is completed, each participant will have the opportunity to work with one of the sponsoring Microsoft teams in Cambridge, MA or other Microsoft locations. #NeurIPS2020
We are hiring a diverse cohort of graduates with degrees in Electrical Engineering, Computer Science, Data Science, Statistics, or other relevant fields for the following profiles.

Note: This is a program specifically for soon-to-be and recent graduates. Applications will only be accepted from candidates who have graduated or will graduate from their degree program between August 2020 and August 2021 and are available for full-time employment starting July 2021. #MSRConf
Responsibilities
Research, develop, and lead the implementation of AI solutions in application projects for Microsoft’s products and services.
Select and apply appropriate statistical and machine learning techniques to large-scale, high-dimensional data.
Stay current with the latest research and technology and communicate your knowledge throughout the organization.
Take responsibility for preparing data for analysis, review data preparation/ETL code and provide critical feedback on issues of data integrity.
Share knowledge by clearly articulating results and ideas to customers, managers, and key decision makers.
Patent and publish relevant IP and scientific research.
Up to 10% travel may be required.
Qualifications
Currently pursuing a degree or graduated within the last 12 months with a degree in the following fields: Electrical Engineering, Computer Science, Data Science, Statistics, or other related fields.
Prefer MS (or BS with 2+ years’ experience)
Energized by creating AI solutions that can positively impact the work and lives of millions of people.
Strong passion for data-driven learning.
Excited by the prospect of working on a wide variety of datasets and AI applications, across many products and engineering teams.
Believe that data science is a team sport.
Love being an active member of a diverse and inclusive cohort.
Strong background in machine learning and/or statistics.
1.5+ years’ experience in probabilistic graphical models/Bayesian networks/deep learning/reinforcement learning/time series/active learning, or other modeling paradigms.
Experience in Python/R/Scala or similar
Research publications are a plus.
Excellent written and oral communication skills

Microsoft is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to age, ancestry, color, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran status, race, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable laws, regulations and ordinances. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. If you need assistance and/or a reasonable accommodation due to a disability during the application or the recruiting process, please send a request via the Accommodation request form.

Benefits/perks listed below may vary depending on the nature of your employment with Microsoft and the country where you work."
